id_empresa;Simbolo;Empresa;Industria;Sub_Industria;Localizacion;Incorp_SP500;Fundacion;Cant_Empleos;Facturac_Usd_ 2022;Costo_Op_Usd_2022;Gcia_Bruta_Usd_2022;Deuda_Usd_ 2022;Valor_de_Mercado
44;ATO;Atmos Energy;Utilities;Gas Utilities;Texas;15/2/2019;1906;4.791;4.410.342.912;2.601.497.912;1.808.845.000;6.650.158.080;15.950.757.888
45;ATVI;Activision Blizzard;Communication Services;Interactive Home Entertainment;California;31/8/2015;2008;13.000;8.705.999.872;3.399.999.872;5.306.000.000;3.612.000.000;73.699.368.960
46;AVB;AvalonBay Communities;Real Estate;Multi-Family Residential REITs;Virginia;10/1/2007;1978;2.859;2.722.797.056;1.033.215.056;1.689.582.000;8.217.655.808;24.179.642.368
47;AVGO;Broadcom Inc.;Information Technology;Semiconductors;California;8/5/2014;1961;20.000;35.454.001.152;10.507.001.152;24.947.000.000;39.340.998.656;340.036.681.728
48;AVY;Avery Dennison;Materials;Paper & Plastic Packaging Products & Materials;California;31/12/1987;1990;2.900;8.498.500.096;6.094.300.096;2.404.200.000;3.545.499.904;14.729.729.024
49;AWK;American Water Works;Utilities;Water Utilities;New Jersey;4/3/2016;1886;6.500;4.048.000.000;1.845.000.000;2.203.000.000;12.263.000.064;23.113.050.112
50;AXON;Axon Enterprise;Industrials;Aerospace & Defense;Arizona;4/5/2023;1993;2.821;1.365.543.936;636.905.936;728.638.000;716.864.000;14.661.183.488
51;AXP;American Express;Financials;Consumer Finance;New York;30/6/1976;1850;77.300;53.008.998.400;24.232.998.400;28.776.000.000;48.831.000.576;108.325.748.736
52;AZO;AutoZone;Consumer Discretionary;Automotive Retail;Tennessee;2/1/1997;1979;87.000;17.457.209.344;8.386.787.344;9.070.422.000;10.585.594.880;45.583.564.800
53;BA;Boeing;Industrials;Aerospace & Defense;Illinois;4/3/1957;1916;156.000;73.608.003.584;67.840.003.584;5.768.000.000;52.267.999.232;112.370.860.032
54;BAC;Bank of America;Financials;Diversified Banks;North Carolina;30/6/1976;1874;216.000;96.442.998.784;4.035.998.784;92.407.000.000;679.177.027.584;207.082.405.888
55;BALL;Ball Corporation;Materials;Metal, Glass & Plastic Containers;Colorado;31/10/1984;1880;21.000;14.554.000.384;11.971.000.384;2.583.000.000;10.215.000.064;15.034.615.808
56;BAX;Baxter International;Health Care;Health Care Equipment;Illinois;30/9/1972;1931;60.000;15.180.999.680;9.149.999.680;6.031.000.000;16.920.999.936;18.747.113.472
57;BBWI;Bath & Body Works, Inc.;Consumer Discretionary;Specialty Stores;Ohio;30/9/1983;1963;8.800;7.448.000.000;4.193.000.000;3.255.000.000;5.890.999.808;7.358.049.280
58;BBY;Best Buy;Consumer Discretionary;Computer & Electronics Retail;Minnesota;29/6/1999;1966;52.200;44.372.000.768;34.460.000.768;9.912.000.000;4.028.999.936;14.718.857.216
59;BDX;Becton Dickinson;Health Care;Health Care Equipment;New Jersey;30/9/1972;1897;77.000;19.046.000.640;10.432.000.640;8.614.000.000;16.782.000.128;75.732.951.040
60;BEN;Franklin Templeton;Financials;Asset Management & Custody Banks;California;30/4/1998;1947;9.300;7.802.299.904;4.286.999.904;3.515.300.000;3.853.499.904;11.925.573.632
61;BF.B;Brown Forman;Consumer Staples;Distillers & Vintners;Kentucky;31/10/1982;1870;5.200;187.500.000.000;137.500.000.000;50.000.000.000;52.500.000.000;250.000.000.000
62;BG;Bunge Limited;Consumer Staples;Agricultural Products & Services;Missouri;15/3/2023;1818;23.000;63.795.998.720;59.877.998.720;3.918.000.000;5.848.000.000;15.642.664.960
63;BIIB;Biogen;Health Care;Biotechnology;Massachusetts;13/11/2003;1978;8.725;9.971.500.032;2.076.400.032;7.895.100.000;6.589.000.192;37.620.670.464
64;BIO;Bio-Rad;Health Care;Life Sciences Tools & Services;California;22/6/2020;1952;8.200;2.769.041.920;1.200.611.920;1.568.430.000;1.382.252.032;10.327.737.344
65;BK;BNY Mellon;Financials;Asset Management & Custody Banks;New York;31/3/1995;1784;53.200;16.992.000.000;654.000.000;16.338.000.000;79.135.997.952;32.467.421.184
66;BKNG;Booking Holdings;Consumer Discretionary;Hotels, Resorts & Cruise Lines;Connecticut;6/11/2009;1996;23.100;19.341.000.704;4.716.000.704;14.625.000.000;14.586.000.384;107.746.189.312
67;BKR;Baker Hughes;Energy;Oil & Gas Equipment & Services;Texas;7/7/2017;2017;57.000;23.303.999.488;18.872.999.488;4.431.000.000;6.710.000.128;35.317.313.536
68;BLK;BlackRock;Financials;Asset Management & Custody Banks;New York;4/4/2011;1988;19.300;17.354.000.384;8.567.000.384;8.787.000.000;9.717.999.616;95.598.714.880
69;BMY;Bristol Myers Squibb;Health Care;Pharmaceuticals;New York;4/3/1957;1887;34.300;45.186.998.272;8.808.998.272;36.378.000.000;39.209.000.960;117.867.020.288
70;BR;Broadridge Financial Solutions;Industrials;Data Processing & Outsourced Services;New York;18/6/2018;1962;14.700;6.060.899.840;4.275.499.840;1.785.400.000;3.652.600.064;21.091.799.040
71;BRK.B;Berkshire Hathaway;Financials;Multi-Sector Holdings;Nebraska;16/2/2010;1839;371.650;308.369.200.000;112.818.000.000;195.551.200.000;902.544.000.000;752.120.000.000
72;BRO;Brown & Brown;Financials;Insurance Brokers;Florida;20/9/2021;1939;15.201;3.968.999.936;2.218.999.936;1.750.000.000;4.047.600.128;20.068.456.448
73;BSX;Boston Scientific;Health Care;Health Care Equipment;Massachusetts;24/2/1995;1979;45.000;13.400.000.512;4.721.000.512;8.679.000.000;9.454.000.128;75.670.888.448
74;BWA;BorgWarner;Consumer Discretionary;Automotive Parts & Equipment;Michigan;19/12/2011;1880;52.700;16.867.999.744;13.766.999.744;3.101.000.000;4.450.999.808;9.087.536.128
75;BX;Blackstone;Financials;Asset Management & Custody Banks;New York;18/9/2023;1985;4.695;6.655.678.976;-397.538.024;7.053.217.000;13.424.132.096;126.769.020.928
76;BXP;Boston Properties;Real Estate;Office REITs;Massachusetts;3/4/2006;1970;780;3.169.420.032;1.217.293.032;1.952.127.000;15.912.904.704;8.569.534.464
77;C;Citigroup;Financials;Diversified Banks;New York;31/5/1988;1998;240.000;70.803.996.672;243.996.672;70.560.000.000;634.030.981.120;76.796.919.808
78;CAG;Conagra Brands;Consumer Staples;Packaged Foods & Meats;Illinois;31/8/1983;1919;18.600;12.276.700.160;9.791.791.718;2.484.908.442;9.273.600.000;12.424.542.208
79;CAH;Cardinal Health;Health Care;Health Care Distributors;Ohio;27/5/1997;1971;47.040;205.011.992.576;201.250.314.916;3.761.677.660;5.269.000.192;22.127.515.648
80;CARR;Carrier Global;Industrials;Building Products;Florida;3/4/2020;1915;52.000;21.820.999.680;16.347.999.680;5.473.000.000;9.274.000.384;44.821.475.328
81;CAT;Caterpillar Inc.;Industrials;Construction Machinery & Heavy Transportation Equipment;Texas;4/3/1957;1925;111.247;73.325.362.217;53.956.398.612;19368963604;35.970.932.408;138.349.740.032
82;CB;Chubb Limited;Financials;Property & Casualty Insurance;Switzerland;15/7/2010;1985;34.000;46.499.999.744;35.873.999.744;10.626.000.000;18.407.000.064;86.566.510.592
83;CBOE;Cboe Global Markets;Financials;Financial Exchanges & Data;Illinois;1/3/2017;1973;1.543;3.894.200.064;2.152.500.064;1.741.700.000;1.743.500.032;16.904.879.104
84;CBRE;CBRE Group;Real Estate;Real Estate Services;Texas;10/11/2006;1906;115.000;30.855.012.352;24.232.854.352;6.622.158.000;5.475.999.744;22.398.189.568
85;CCI;Crown Castle;Real Estate;Telecom Tower REITs;Texas;14/3/2012;1994;5.000;7.150.000.128;2.232.000.128;4.918.000.000;28.509.999.104;38.948.712.448
86;CCL;Carnival;Consumer Discretionary;Hotels, Resorts & Cruise Lines;Florida;22/12/1998;1972;87.000;20.035.999.744;16.225.999.744;3.810.000.000;32.644.999.168;17.373.257.728
87;CDAY;Ceridian;Industrials;Human Resource & Employment Services;Minnesota;20/9/2021;1992;8.526;1.388.199.936;832.599.936;555.600.000;1.249.299.968;10.995.614.720
88;CDNS;Cadence Design Systems;Information Technology;Application Software;California;18/9/2017;1988;10.200;3.800.699.904;610.604.904;3.190.095.000;648.550.976;63.808.143.360
89;CDW;CDW;Information Technology;Technology Distributors;Illinois;23/9/2019;1984;11.100;22.382.999.552;17.696.399.552;4.686.600.000;6.552.999.936;27.217.104.896
90;CE;Celanese;Materials;Specialty Chemicals;Texas;24/12/2018;1918;13.263;10.296.999.936;7.916.999.936;2.380.000.000;14.832.000.000;13.094.895.616
91;CEG;Constellation Energy;Utilities;Multi-Utilities;Maryland;2/2/2022;1999;13.370;26.395.000.832;24.168.000.832;2.227.000.000;7.200.999.936;34.693.345.280
92;CF;CF Industries;Materials;Fertilizers & Agricultural Chemicals;Illinois;27/8/2008;1946;2.700;8.716.000.256;2.855.000.256;5.861.000.000;3.244.000.000;15.638.435.840
93;CFG;Citizens Financial Group;Financials;Regional Banks;Rhode Island;29/1/2016;1828;18.468;7.831.000.064;284.000.064;7.547.000.000;17.468.999.680;12.180.463.616
94;CHD;Church & Dwight;Consumer Staples;Household Products;New Jersey;29/12/2015;1847;5.250;5.637.300.224;3.387.300.224;2.250.000.000;2.573.900.032;22.200.821.760
95;CHRW;C.H. Robinson;Industrials;Air Freight & Logistics;Minnesota;2/3/2007;1905;16.523;20.115.722.240;18.223.991.240;1.891.731.000;2.097.540.992;9.820.954.624
96;CHTR;Charter Communications;Communication Services;Cable & Satellite;Connecticut;8/9/2016;1993;101.700;54.535.999.488;30.050.999.488;24.485.000.000;98.262.999.040;64.624.947.200
97;CI;Cigna;Health Care;Managed Health Care;Connecticut;30/6/1976;1982;71.300;186.021.003.264;163.040.003.264;22.981.000.000;32.732.999.680;84.457.897.984
98;CINF;Cincinnati Financial;Financials;Property & Casualty Insurance;Ohio;18/12/1997;1950;5.148;9.365.000.192;9.898.000.192;-533.000.000;867.000.000;15.895.786.496
99;CL;Colgate-Palmolive;Consumer Staples;Household Products;New York;4/3/1957;1806;33.800;18.676.000.768;8.428.000.768;10.248.000.000;8.988.999.680;57.264.951.296
100;CLX;Clorox;Consumer Staples;Household Products;California;31/3/1969;1913;8.700;7.389.000.192;4.484.000.192;2.905.000.000;2.953.999.872;15.469.582.336
101;CMA;Comerica;Financials;Diversified Banks;Texas;1/12/1995;1849;7.280;3.795.000.064;321.000.064;3.474.000.000;17.551.998.976;5.294.799.872
102;CMCSA;Comcast;Communication Services;Cable & Satellite;Pennsylvania;19/11/2002;1963;186.000;120.605.999.104;37.391.999.104;83.214.000.000;102.669.000.704;177.422.221.312
103;CME;CME Group;Financials;Financial Exchanges & Data;Illinois;11/8/2006;1848;3.460;5.227.500.032;218.700.032;5.008.800.000;3.909.600.000;74.611.941.376
104;CMG;Chipotle Mexican Grill;Consumer Discretionary;Restaurants;California;28/4/2011;1993;104.958;9.284.155.392;5.910.131.392;3.374.024.000;3.887.992.064;51.356.524.544
105;CMI;Cummins;Industrials;Industrial Machinery & Supplies & Components;Indiana;31/3/1965;1919;73.600;32.194.000.896;25.458.000.896;6.736.000.000;8.359.000.064;31.930.068.992
106;CMS;CMS Energy;Utilities;Multi-Utilities;Michigan;4/3/1957;1886;8.560;8.141.000.192;5.379.000.192;2.762.000.000;15.121.999.872;15.114.376.192
107;CNC;Centene Corporation;Health Care;Managed Health Care;Missouri;30/3/2016;1984;74.300;138.272.997.376;113.802.997.376;24.470.000.000;21.353.000.960;37.372.878.848
108;CNP;CenterPoint Energy;Utilities;Multi-Utilities;Texas;31/7/1985;1882;8.986;9.267.999.744;5.697.999.744;3.570.000.000;16.981.999.616;16.802.118.656
109;COF;Capital One;Financials;Consumer Finance;Virginia;1/7/1998;1994;55.600;26.389.999.616;-2.013.000.384;28.403.000.000;54.697.000.960;35.301.527.552
110;COO;CooperCompanies;Health Care;Health Care Supplies;California;23/9/2016;1958;15.000;3.514.200.064;1.347.900.064;2.166.300.000;2.594.299.904;15.427.253.248
111;COP;ConocoPhillips;Energy;Oil & Gas Exploration & Production;Texas;4/3/1957;2002;9.700;68.775.002.112;29.177.002.112;39.598.000.000;16.444.000.256;135.819.321.344
112;COR;Cencora;Health Care;Health Care Distributors;Pennsylvania;30/8/2001;1985;46.000;254.425.235.456;246.090.670.456;8.334.565.000;6.351.732.224;37.166.022.656
113;COST;Costco;Consumer Staples;Consumer Staples Merchandise Retail;Washington;1/10/1993;1976;304.000;242.289.999.872;212.194.999.872;30.095.000.000;8.883.999.744;252.179.480.576
114;CPB;Campbell Soup Company;Consumer Staples;Packaged Foods & Meats;New Jersey;4/3/1957;1869;14.500;9.356.999.680;6.421.999.680;2.935.000.000;4.967.000.064;11.670.504.448
115;CPRT;Copart;Industrials;Diversified Support Services;Texas;2/7/2018;1982;12.000;3.869.518.080;2.100.149.080;1.769.369.000;120.453.000;42.161.958.912
116;CPT;Camden Property Trust;Real Estate;Multi-Family Residential REITs;Texas;4/4/2022;1981;1.650;1.516.905.984;611.092.984;905.813.000;3.689.530.112;10.059.963.392
117;CRL;Charles River Laboratories;Health Care;Life Sciences Tools & Services;Massachusetts;14/5/2021;1947;20.000;4.178.309.888;2.715.658.888;1.462.651.000;3.083.823.104;9.840.555.008
118;CRM;Salesforce;Information Technology;Application Software;California;15/9/2008;1999;79.390;33.070.999.552;10.078.999.552;22.992.000.000;13.900.999.680;196.555.718.656
119;CSCO;Cisco;Information Technology;Communications Equipment;California;1/12/1993;1984;84.900;56.997.998.592;21.244.998.592;35.753.000.000;9.452.000.256;215.191.420.928
120;CSGP;CoStar Group;Real Estate;Real Estate Services;D.C.;19/9/2022;1987;5.653;2.320.538.112;552.147.112;1.768.391.000;1.098.712.064;32.458.706.944
121;CSX;CSX;Industrials;Rail Transportation;Florida;4/3/1957;1980;22.700;15.029.999.616;7.639.999.616;7.390.000.000;18.511.998.976;61.012.496.384
122;CTAS;Cintas;Industrials;Diversified Support Services;Ohio;1/3/2001;1929;44.500;8.991.644.672;2.115.750.994;6.875.893.678;2.662.354.944;49.113.526.272
123;CTLT;Catalent;Health Care;Pharmaceuticals;New Jersey;21/9/2020;2007;17.800;4.276.000.000;3.216.000.000;1.060.000.000;4.848.999.936;7.726.457.856
124;CTRA;Coterra;Energy;Oil & Gas Exploration & Production;Texas;23/6/2008;1989;981;7.683.999.744;47.999.744;7.636.000.000;2.560.999.936;20.103.499.776
125;CTSH;Cognizant;Information Technology;IT Consulting & Other Services;New Jersey;17/11/2006;1994;345.600;19.394.000.896;12.355.000.896;7.039.000.000;1.480.999.936;34.191.273.984
126;CTVA;Corteva;Materials;Fertilizers & Agricultural Chemicals;Indiana;3/6/2019;2019;21.000;17.531.000.832;10.505.000.832;7.026.000.000;5.312.999.936;35.367.538.688
127;CVS;CVS Health;Health Care;Health Care Services;Rhode Island;4/3/1957;1996;219.000;338.072.010.752;284.616.010.752;53.456.000.000;82.135.998.464;89.586.900.992
128;CVX;Chevron Corporation;Energy;Integrated Oil & Gas;California;4/3/1957;1879;43.846;214.671.998.976;115.785.998.976;98.886.000.000;21.514.000.384;312.655.642.624
129;CZR;Caesars Entertainment;Consumer Discretionary;Casinos & Gaming;Nevada;22/3/2021;1973;49.000;11.416.999.936;5.996.999.936;5.420.000.000;26.094.000.128;9.403.867.136
130;D;Dominion Energy;Utilities;Electric Utilities;Virginia;25/9/1996;1983;17.200;18.345.000.960;10.422.000.960;7.923.000.000;48.978.001.920;34.290.956.288
131;DAL;Delta Air Lines;Industrials;Passenger Airlines;Atlanta;11/9/2013;1929;95.000;57.259.999.232;47.579.999.232;9.680.000.000;27.899.000.832;23.446.151.168
132;DD;DuPont;Materials;Specialty Chemicals;Delaware;2/4/2019;2017;23.000;12.533.000.192;7.918.000.192;4.615.000.000;8.600.000.512;33.809.842.176
133;DE;John Deere;Industrials;Agricultural & Farm Machinery;Illinois;4/3/1957;1837;82.200;61.361.000.448;46.875.000.448;14.486.000.000;63.037.001.728;108.199.092.224
134;DFS;Discover Financial;Financials;Consumer Finance;Illinois;2/7/2007;1985;20.200;10.789.999.616;324.999.616;10.465.000.000;20.276.000.768;21.782.968.320
135;DG;Dollar General;Consumer Staples;Consumer Staples Merchandise Retail;Tennessee;3/12/2012;1939;170.000;38.806.810.624;26.986.712.624;11.820.098.000;18.035.841.024;23.347.855.360
136;DGX;Quest Diagnostics;Health Care;Health Care Services;New Jersey;12/12/2002;1967;40.000;9.488.000.000;6.021.000.000;3.467.000.000;4.959.000.064;13.803.782.144
137;DHI;D.R. Horton;Consumer Discretionary;Homebuilding;Texas;22/6/2005;1978;13.237;34.595.799.040;24.525.699.040;10.070.100.000;6.168.200.192;35.111.845.888
138;DHR;Danaher Corporation;Health Care;Health Care Equipment;D.C.;18/11/1998;1969;79.000;30.356.000.768;11.407.000.768;18.949.000.000;20.974.999.552;160.126.402.560
139;DIS;Disney;Communication Services;Movies & Entertainment;California;30/6/1976;1923;171.600;87.807.000.576;59.486.000.576;28.321.000.000;47.189.000.192;147.864.518.656
140;DLR;Digital Realty;Real Estate;Data Center REITs;Texas;18/5/2016;2004;3.412;5.109.769.216;2.448.994.216;2.660.775.000;19.271.573.504;36.391.899.136
141;DLTR;Dollar Tree;Consumer Staples;Consumer Staples Merchandise Retail;Virginia;19/12/2011;1986;65.025;29.309.700.096;20.374.300.096;8.935.400.000;10.350.300.160;23.410.839.552
142;DOV;Dover Corporation;Industrials;Industrial Machinery & Supplies & Components;Illinois;31/10/1985;1955;25.000;8.476.580.864;5.406.169.864;3.070.411.000;3.422.747.904;19.345.973.248
143;DOW;Dow Inc.;Materials;Commodity Chemicals;Michigan;1/4/2019;2019;37.800;49.244.999.680;40.680.999.680;8.564.000.000;16.304.000.000;35.055.321.088
144;DPZ;Domino's;Consumer Discretionary;Restaurants;Michigan;12/5/2020;1960;6.500;4.509.852.160;3.346.576.160;1.163.276.000;5.226.727.936;12.747.302.912
145;DRI;Darden Restaurants;Consumer Discretionary;Restaurants;Florida;31/5/1995;1938;187.384;10.772.299.776;7.886.099.333;2.886.200.443;6.937.699.840;16.977.649.664
146;DTE;DTE Energy;Utilities;Multi-Utilities;Michigan;4/3/1957;1995;10.102;16.190.000.128;12.522.000.128;3.668.000.000;19.868.999.680;19.421.777.920
147;DUK;Duke Energy;Utilities;Electric Utilities;North Carolina;30/6/1976;1904;27.859;28.597.999.616;15.485.999.616;13.112.000.000;78.822.998.016;65.880.121.344
148;DVA;DaVita Inc.;Health Care;Health Care Facilities;Colorado;31/7/2008;1979;70.000;11.738.649.600;8.338.308.600;3.400.341.000;11.478.210.560;8.383.000.064
149;DVN;Devon Energy;Energy;Oil & Gas Exploration & Production;Oklahoma;30/8/2000;1971;1.800;16.023.000.064;4.694.000.064;11.329.000.000;6.736.000.000;27.453.995.008
150;DXC;DXC Technology;Information Technology;IT Consulting & Other Services;Virginia;4/4/2017;2017;170.500;14.168.999.936;10.832.870.528;3.336.129.408;5.486.000.128;4.448.172.544
151;DXCM;Dexcom;Health Care;Health Care Equipment;California;12/5/2020;1999;7.500;3.197.600.000;1.314.500.000;1.883.100.000;3.371.599.872;32.581.246.976
152;EA;Electronic Arts;Communication Services;Interactive Home Entertainment;California;22/7/2002;1982;13.400;7.583.000.064;1.829.000.064;5.754.000.000;2.216.999.936;32.723.460.096
153;EBAY;eBay;Consumer Discretionary;Broadline Retail;California;22/7/2002;1995;11.600;9.939.999.744;2.824.999.744;7.115.000.000;8.218.999.808;22.675.210.240
154;ECL;Ecolab;Materials;Specialty Chemicals;Minnesota;31/1/1989;1923;47.000;14.764.199.936;9.337.499.936;5.426.700.000;9.066.999.808;48.011.124.736
155;ED;Consolidated Edison;Utilities;Electric Utilities;New York;4/3/1957;1823;14.319;15.541.999.616;7.856.999.616;7.685.000.000;23.835.000.832;29.235.759.104
156;EFX;Equifax;Industrials;Research & Consulting Services;Atlanta;19/6/1997;1899;14.000;5.061.799.936;2.116.799.936;2.945.000.000;5.672.099.840;22.184.095.744
157;EG;Everest Re;Financials;Reinsurance;Bermuda;19/6/2017;1973;2.428;13.354.900.480;12.502.000.480;852.900.000;3.084.999.936;16.800.664.576
